student_id	address_id	first_name	middle_name	last_name	cell_mobile_number	email_address	date_first_rental	date_left_universtity
31	error: nil can't be coerced into Fixnum	Charles	Judy	Lawson	63-(328)797-0532	jlawsonu@tripod.com	1/22/2012	1/14/2016
32	error: nil can't be coerced into Fixnum	Evelyn	Evelyn	Wood	351-(996)753-5248	ewoodv@ucsd.edu	11/11/2012	4/29/2016
33	error: nil can't be coerced into Fixnum	Jennifer	Juan	Lawrence	62-(956)616-0127	jlawrencew@myspace.com	5/22/2012	5/25/2016
34	error: nil can't be coerced into Fixnum	Dorothy	George	Moore	880-(686)709-8460	gmoorex@psu.edu	1/12/2012	11/5/2016
35	error: nil can't be coerced into Fixnum	Joshua	Joseph	Rivera	62-(748)568-7505	jriveray@amazon.com	9/16/2012	2/1/2016
36	error: nil can't be coerced into Fixnum	Elizabeth	Wayne	Ward	86-(344)737-4226	wwardz@tamu.edu	9/29/2012	9/6/2016
37	error: nil can't be coerced into Fixnum	Willie	Diana	Clark	505-(558)389-1074	dclark10@w3.org	10/29/2012	10/11/2016
38	error: nil can't be coerced into Fixnum	Gary	Louise	Payne	49-(304)478-6539	lpayne11@mit.edu	6/28/2012	3/20/2016
39	error: nil can't be coerced into Fixnum	Mary	Adam	Kelley	81-(980)652-3556	akelley12@techcrunch.com	4/27/2012	11/27/2015
40	error: nil can't be coerced into Fixnum	Donna	Larry	Ray	55-(890)729-0742	lray13@last.fm	1/3/2012	6/6/2016
41	error: nil can't be coerced into Fixnum	Angela	Richard	Carpenter	1-(254)942-0316	rcarpenter14@sciencedaily.com	9/29/2012	12/29/2015
42	error: nil can't be coerced into Fixnum	Michelle	Helen	Rivera	7-(936)647-7321	hrivera15@1und1.de	6/22/2012	3/3/2016
43	error: nil can't be coerced into Fixnum	Joe	Carol	Arnold	351-(530)203-4362	carnold16@cnbc.com	6/27/2012	11/29/2015
44	error: nil can't be coerced into Fixnum	Joan	Phillip	Collins	63-(519)471-4405	pcollins17@blogtalkradio.com	8/13/2012	6/10/2016
45	error: nil can't be coerced into Fixnum	Diana	Jason	Watkins	62-(259)202-3190	jwatkins18@elpais.com	4/15/2012	3/22/2016
46	error: nil can't be coerced into Fixnum	Jeremy	Paula	Reyes	420-(217)489-8698	preyes19@cnbc.com	8/21/2012	12/3/2015
47	error: nil can't be coerced into Fixnum	Shawn	Melissa	Hayes	212-(236)663-6761	mhayes1a@mozilla.org	4/8/2012	11/24/2016
48	error: nil can't be coerced into Fixnum	Nancy	Sharon	Willis	30-(476)169-7177	swillis1b@cafepress.com	10/6/2012	10/9/2016
49	error: nil can't be coerced into Fixnum	Brian	Anna	Lewis	30-(299)132-1281	alewis1c@stanford.edu	5/4/2012	12/9/2015
50	error: nil can't be coerced into Fixnum	Timothy	Billy	Warren	62-(659)737-4196	bwarren1d@naver.com	11/11/2012	3/26/2016
51	error: nil can't be coerced into Fixnum	Michelle	Gloria	Johnston	86-(357)237-8204	gjohnston1e@jalbum.net	5/13/2012	4/6/2016
52	error: nil can't be coerced into Fixnum	Kenneth	Marie	Chavez	86-(584)808-6156	mchavez1f@wordpress.org	12/28/2011	2/6/2016
53	error: nil can't be coerced into Fixnum	Doris	Julie	Snyder	7-(356)793-1981	jsnyder1g@networkadvertising.org	8/18/2012	6/4/2016
54	error: nil can't be coerced into Fixnum	Jennifer	Ernest	Morrison	353-(213)649-5513	emorrison1h@economist.com	10/21/2012	9/3/2016
55	error: nil can't be coerced into Fixnum	Scott	Brian	Hamilton	351-(443)829-2255	bhamilton1i@tripadvisor.com	7/24/2012	6/14/2016
56	error: nil can't be coerced into Fixnum	Mildred	Terry	Campbell	86-(610)296-5463	tcampbell1j@ifeng.com	3/12/2012	6/14/2016
57	error: nil can't be coerced into Fixnum	Janet	Douglas	Rodriguez	86-(299)299-9312	drodriguez1k@army.mil	10/19/2012	5/2/2016
58	error: nil can't be coerced into Fixnum	Steve	Gregory	Scott	86-(690)758-7749	gscott1l@comsenz.com	5/20/2012	2/14/2016
59	error: nil can't be coerced into Fixnum	Paul	Willie	Ramos	55-(514)902-4620	wramos1m@mtv.com	8/11/2012	6/18/2016
60	error: nil can't be coerced into Fixnum	Gary	Carl	Murray	66-(827)478-5801	cmurray1n@devhub.com	6/29/2012	6/25/2016
61	error: nil can't be coerced into Fixnum	Samuel	Tammy	Kelley	66-(396)109-9225	tkelley1o@microsoft.com	4/26/2012	2/7/2016
62	error: nil can't be coerced into Fixnum	Denise	Catherine	Cruz	30-(241)655-2978	ccruz1p@census.gov	6/8/2012	10/20/2016
63	error: nil can't be coerced into Fixnum	Todd	Diane	Holmes	62-(100)142-5906	dholmes1q@discovery.com	7/15/2012	10/8/2016
64	error: nil can't be coerced into Fixnum	Theresa	Lois	Burton	46-(514)489-9782	lburton1r@fda.gov	9/19/2012	6/8/2016
65	error: nil can't be coerced into Fixnum	Andrew	Jack	Spencer	62-(872)405-9689	jspencer1s@uol.com.br	9/16/2012	3/3/2016
66	error: nil can't be coerced into Fixnum	Nancy	Victor	Martin	598-(742)378-2534	vmartin1t@amazon.com	5/2/2012	5/5/2016
67	error: nil can't be coerced into Fixnum	Randy	Jeremy	Watkins	55-(829)815-9316	jwatkins1u@guardian.co.uk	11/24/2012	11/6/2016
68	error: nil can't be coerced into Fixnum	Phyllis	Deborah	Powell	86-(907)396-1989	dpowell1v@google.es	5/15/2012	10/29/2016
69	error: nil can't be coerced into Fixnum	Debra	Nancy	Dixon	60-(776)562-8793	ndixon1w@bizjournals.com	11/24/2012	12/7/2015
70	error: nil can't be coerced into Fixnum	Catherine	Jonathan	Perkins	55-(933)615-8648	jperkins1x@ihg.com	6/4/2012	10/25/2016
71	error: nil can't be coerced into Fixnum	Anna	Melissa	Kennedy	86-(535)857-1850	mkennedy1y@columbia.edu	11/18/2012	10/19/2016
72	error: nil can't be coerced into Fixnum	Roger	Eric	Dean	62-(820)811-6570	edean1z@youku.com	4/25/2012	11/12/2016
73	error: nil can't be coerced into Fixnum	Frank	Joe	Sanders	53-(763)397-8817	jsanders20@mashable.com	9/11/2012	8/30/2016
74	error: nil can't be coerced into Fixnum	Ryan	Deborah	Ferguson	7-(836)362-1461	dferguson21@ocn.ne.jp	3/21/2012	11/1/2016
75	error: nil can't be coerced into Fixnum	Jacqueline	Anne	Parker	260-(115)713-4518	aparker22@washingtonpost.com	11/27/2011	2/26/2016
76	error: nil can't be coerced into Fixnum	Gary	Terry	Griffin	7-(622)127-6406	tgriffin23@who.int	11/29/2011	10/24/2016
77	error: nil can't be coerced into Fixnum	Susan	Jeremy	Warren	7-(552)588-5526	jwarren24@jigsy.com	11/10/2012	7/24/2016
78	error: nil can't be coerced into Fixnum	Susan	Frank	Thomas	86-(503)475-2789	fthomas25@oaic.gov.au	6/5/2012	2/9/2016
79	error: nil can't be coerced into Fixnum	Carol	Brandon	Jordan	46-(532)218-2163	bjordan26@nhs.uk	8/20/2012	10/1/2016
80	error: nil can't be coerced into Fixnum	Victor	Sharon	Howard	62-(590)600-8251	showard27@altervista.org	4/21/2012	1/22/2016
81	error: nil can't be coerced into Fixnum	Roger	Sara	Watkins	86-(280)335-9932	swatkins28@ifeng.com	3/27/2012	3/17/2016
82	error: nil can't be coerced into Fixnum	Matthew	Julia	Ruiz	7-(986)700-9347	jruiz29@shutterfly.com	7/15/2012	1/5/2016
83	error: nil can't be coerced into Fixnum	Larry	Justin	Bradley	7-(278)955-5253	jbradley2a@cnn.com	12/11/2011	5/25/2016
84	error: nil can't be coerced into Fixnum	Susan	Raymond	Boyd	86-(446)501-8091	rboyd2b@go.com	7/18/2012	10/12/2016
85	error: nil can't be coerced into Fixnum	Adam	Julie	Alexander	86-(303)465-5671	jalexander2c@marriott.com	12/2/2011	1/1/2016
86	error: nil can't be coerced into Fixnum	Thomas	Ronald	Peterson	7-(167)463-1257	rpeterson2d@bing.com	1/10/2012	12/19/2015
87	error: nil can't be coerced into Fixnum	Steven	Helen	Wright	225-(635)496-8674	hwright2e@buzzfeed.com	3/21/2012	2/12/2016
88	error: nil can't be coerced into Fixnum	Melissa	Alice	Robinson	62-(496)450-6304	arobinson2f@facebook.com	11/3/2012	3/12/2016
89	error: nil can't be coerced into Fixnum	Douglas	Lisa	Montgomery	1-(347)269-3427	lmontgomery2g@tamu.edu	6/14/2012	8/29/2016
90	error: nil can't be coerced into Fixnum	Gregory	Martin	Cox	973-(478)900-6584	mcox2h@woothemes.com	7/18/2012	4/10/2016
91	error: nil can't be coerced into Fixnum	Virginia	Teresa	Patterson	237-(549)464-1118	tpatterson2i@ft.com	3/10/2012	1/31/2016
92	error: nil can't be coerced into Fixnum	Cheryl	Steve	Pierce	420-(311)885-1919	spierce2j@opera.com	8/3/2012	6/6/2016
93	error: nil can't be coerced into Fixnum	Ann	Eugene	Kennedy	86-(460)483-9497	ekennedy2k@stumbleupon.com	9/28/2012	11/14/2016
94	error: nil can't be coerced into Fixnum	Kevin	Brandon	Murphy	62-(655)860-8394	bmurphy2l@blinklist.com	3/4/2012	8/30/2016
95	error: nil can't be coerced into Fixnum	Tammy	Peter	Garrett	260-(395)908-9174	pgarrett2m@yelp.com	6/17/2012	11/14/2016
96	error: nil can't be coerced into Fixnum	Louis	Beverly	Rogers	46-(397)663-2154	brogers2n@acquirethisname.com	4/21/2012	7/3/2016
97	error: nil can't be coerced into Fixnum	Philip	Joshua	Rivera	86-(540)365-1502	jrivera2o@thetimes.co.uk	10/27/2012	8/20/2016
98	error: nil can't be coerced into Fixnum	Ronald	Sara	Morris	86-(515)510-9896	smorris2p@blogspot.com	5/18/2012	6/14/2016
99	error: nil can't be coerced into Fixnum	Michelle	George	Brooks	62-(592)261-2173	gbrooks2q@nyu.edu	2/22/2012	9/27/2016
100	error: nil can't be coerced into Fixnum	Shawn	Maria	Sanchez	63-(844)723-7856	msanchez2r@squarespace.com	4/19/2012	12/19/2015
101	error: nil can't be coerced into Fixnum	Frank	Victor	Sims	86-(939)756-4948	vsims2s@mit.edu	4/29/2012	1/5/2016
102	error: nil can't be coerced into Fixnum	Antonio	Robin	Sullivan	351-(834)718-9320	rsullivan2t@is.gd	11/27/2011	2/4/2016
103	error: nil can't be coerced into Fixnum	Steven	Ashley	Jordan	62-(395)100-3503	ajordan2u@jalbum.net	3/19/2012	1/8/2016
104	error: nil can't be coerced into Fixnum	Laura	Janet	Hunter	351-(562)485-6835	jhunter2v@virginia.edu	2/23/2012	9/15/2016
105	error: nil can't be coerced into Fixnum	Mark	Wayne	Roberts	63-(344)493-2420	wroberts2w@java.com	3/5/2012	5/27/2016
106	error: nil can't be coerced into Fixnum	Martin	Julie	Shaw	7-(997)318-4740	jshaw2x@archive.org	11/22/2012	4/19/2016
107	error: nil can't be coerced into Fixnum	Jesse	Brian	Banks	381-(173)769-6399	bbanks2y@facebook.com	2/8/2012	9/13/2016
108	error: nil can't be coerced into Fixnum	Janice	Marie	Jordan	52-(471)811-1760	mjordan2z@thetimes.co.uk	3/16/2012	5/28/2016
109	error: nil can't be coerced into Fixnum	Phillip	Carl	Stephens	66-(822)354-1043	cstephens30@comsenz.com	1/20/2012	3/29/2016
110	error: nil can't be coerced into Fixnum	Harry	Justin	Stevens	7-(204)160-8529	jstevens31@soundcloud.com	6/12/2012	11/23/2016
111	error: nil can't be coerced into Fixnum	Anna	Judith	Gonzales	30-(778)746-9875	jgonzales32@list-manage.com	1/7/2012	6/24/2016
112	error: nil can't be coerced into Fixnum	Benjamin	Gregory	Dunn	998-(141)229-7179	gdunn33@huffingtonpost.com	10/10/2012	1/31/2016
113	error: nil can't be coerced into Fixnum	Alice	Sandra	Wheeler	353-(818)428-2991	swheeler34@sitemeter.com	10/7/2012	10/13/2016
114	error: nil can't be coerced into Fixnum	Helen	Raymond	Fisher	1-(515)677-0057	rfisher35@ox.ac.uk	12/30/2011	12/5/2015
115	error: nil can't be coerced into Fixnum	Phyllis	Linda	Johnson	81-(108)589-7588	ljohnson36@cisco.com	12/28/2011	6/5/2016
116	error: nil can't be coerced into Fixnum	Judith	Sharon	Scott	351-(449)652-1526	sscott37@bbc.co.uk	10/26/2012	1/29/2016
117	error: nil can't be coerced into Fixnum	Kenneth	Jonathan	Riley	81-(180)804-1514	jriley38@wufoo.com	6/9/2012	4/27/2016
118	error: nil can't be coerced into Fixnum	Betty	Harold	Gray	46-(315)707-6232	hgray39@hexun.com	5/24/2012	6/16/2016
119	error: nil can't be coerced into Fixnum	Ryan	Bobby	Hall	46-(356)619-1797	bhall3a@livejournal.com	5/20/2012	6/25/2016
120	error: nil can't be coerced into Fixnum	Harry	Brandon	Arnold	84-(687)658-1427	barnold3b@sitemeter.com	2/4/2012	4/18/2016
121	error: nil can't be coerced into Fixnum	Samuel	Gregory	Fowler	46-(543)518-5521	gfowler3c@mapy.cz	9/17/2012	2/8/2016
122	error: nil can't be coerced into Fixnum	Steve	Roger	Hunt	86-(909)731-7503	rhunt3d@hostgator.com	2/21/2012	6/10/2016
123	error: nil can't be coerced into Fixnum	Shirley	Jerry	Gilbert	7-(879)596-6089	jgilbert3e@phpbb.com	4/2/2012	11/20/2016
124	error: nil can't be coerced into Fixnum	Stephen	Bonnie	Hicks	380-(370)252-7567	bhicks3f@disqus.com	10/7/2012	7/10/2016
125	error: nil can't be coerced into Fixnum	Willie	Marie	Martinez	389-(754)237-0545	mmartinez3g@miibeian.gov.cn	11/20/2012	6/6/2016
126	error: nil can't be coerced into Fixnum	Sandra	Carlos	Cox	86-(647)166-4061	ccox3h@webeden.co.uk	1/27/2012	9/11/2016
127	error: nil can't be coerced into Fixnum	Maria	Amy	Holmes	62-(681)675-1540	aholmes3i@virginia.edu	10/5/2012	12/14/2015
128	error: nil can't be coerced into Fixnum	Alice	Willie	Russell	33-(412)597-1602	wrussell3j@chron.com	3/31/2012	6/17/2016
129	error: nil can't be coerced into Fixnum	Melissa	Margaret	Gutierrez	33-(357)700-3251	mgutierrez3k@berkeley.edu	6/14/2012	12/26/2015
130	error: nil can't be coerced into Fixnum	Tammy	Ralph	Baker	86-(671)400-6482	rbaker3l@ebay.co.uk	5/20/2012	8/5/2016
131	error: nil can't be coerced into Fixnum	Roger	Jacqueline	Torres	387-(897)677-4646	jtorres3m@merriam-webster.com	7/14/2012	7/2/2016
132	error: nil can't be coerced into Fixnum	Denise	Roger	Weaver	86-(961)984-8902	rweaver3n@moonfruit.com	8/25/2012	11/9/2016
133	error: nil can't be coerced into Fixnum	Brenda	Judith	Stanley	970-(402)689-0780	jstanley3o@disqus.com	1/2/2012	4/28/2016
134	error: nil can't be coerced into Fixnum	Joyce	Joan	Gonzales	7-(333)542-0460	jgonzales3p@admin.ch	7/14/2012	9/9/2016
135	error: nil can't be coerced into Fixnum	Julie	Janet	Moreno	55-(984)270-2077	jmoreno3q@pagesperso-orange.fr	1/10/2012	12/15/2015
136	error: nil can't be coerced into Fixnum	Joshua	Gregory	Hayes	33-(709)335-3872	ghayes3r@domainmarket.com	8/13/2012	4/6/2016
137	error: nil can't be coerced into Fixnum	Matthew	John	Garcia	56-(598)481-6869	jgarcia3s@dot.gov	4/7/2012	5/31/2016
138	error: nil can't be coerced into Fixnum	Lisa	Mary	Patterson	232-(517)201-4299	mpatterson3t@bandcamp.com	11/11/2012	9/16/2016
139	error: nil can't be coerced into Fixnum	Martin	Scott	Washington	46-(122)432-9920	swashington3u@baidu.com	1/17/2012	4/7/2016
140	error: nil can't be coerced into Fixnum	Craig	Denise	Garrett	86-(976)331-3620	dgarrett3v@nhs.uk	9/8/2012	12/19/2015
141	error: nil can't be coerced into Fixnum	Rebecca	Maria	Hansen	1-(786)342-6451	mhansen3w@mashable.com	2/17/2012	3/18/2016
142	error: nil can't be coerced into Fixnum	Annie	Victor	Jacobs	86-(323)212-1801	vjacobs3x@bravesites.com	10/27/2012	4/8/2016
143	error: nil can't be coerced into Fixnum	Deborah	Terry	George	86-(708)586-2348	tgeorge3y@barnesandnoble.com	1/25/2012	11/14/2016
144	error: nil can't be coerced into Fixnum	Alan	Diane	Ramos	48-(742)323-3116	dramos3z@cbsnews.com	1/17/2012	11/28/2015
145	error: nil can't be coerced into Fixnum	Bonnie	Lillian	Reyes	33-(143)949-7076	lreyes40@boston.com	5/28/2012	10/12/2016
146	error: nil can't be coerced into Fixnum	Paul	Andrea	West	252-(797)422-4535	awest41@prweb.com	9/20/2012	11/12/2016
147	error: nil can't be coerced into Fixnum	Bonnie	Paula	Mitchell	1-(439)707-8253	pmitchell42@opera.com	8/6/2012	12/10/2015
148	error: nil can't be coerced into Fixnum	Bonnie	Harry	Jenkins	374-(812)862-5655	hjenkins43@reuters.com	5/27/2012	4/26/2016
149	error: nil can't be coerced into Fixnum	Virginia	Jessica	Young	1-(916)899-4918	jyoung44@china.com.cn	12/3/2011	7/12/2016
150	error: nil can't be coerced into Fixnum	Adam	Rachel	Lawson	86-(629)182-4634	rlawson45@e-recht24.de	3/13/2012	8/17/2016
151	error: nil can't be coerced into Fixnum	Judy	Louis	Graham	93-(937)676-6287	lgraham46@wikipedia.org	4/27/2012	10/29/2016
152	error: nil can't be coerced into Fixnum	Gloria	Harold	Hall	63-(583)642-6009	hhall47@shop-pro.jp	4/23/2012	6/24/2016
153	error: nil can't be coerced into Fixnum	Carl	Mildred	Shaw	502-(275)574-9337	mshaw48@google.com.br	7/16/2012	3/27/2016
154	error: nil can't be coerced into Fixnum	Jane	Michael	Martinez	63-(166)509-6323	mmartinez49@goodreads.com	8/3/2012	7/13/2016
155	error: nil can't be coerced into Fixnum	Walter	Daniel	Richardson	98-(227)447-0277	drichardson4a@t-online.de	11/24/2012	1/16/2016
156	error: nil can't be coerced into Fixnum	Ronald	Matthew	Fields	62-(210)458-5639	mfields4b@shop-pro.jp	8/19/2012	11/4/2016
157	error: nil can't be coerced into Fixnum	Doris	Shawn	Olson	7-(831)104-4261	solson4c@123-reg.co.uk	4/18/2012	9/18/2016
158	error: nil can't be coerced into Fixnum	Alan	Dennis	Wheeler	977-(700)910-0890	dwheeler4d@ehow.com	7/20/2012	11/11/2016
159	error: nil can't be coerced into Fixnum	Adam	Anne	Mills	86-(835)480-9115	amills4e@booking.com	4/25/2012	7/21/2016
160	error: nil can't be coerced into Fixnum	Eugene	Melissa	Daniels	55-(475)250-1289	mdaniels4f@time.com	8/23/2012	4/12/2016
161	error: nil can't be coerced into Fixnum	Russell	Robin	Ray	66-(423)263-0993	rray4g@loc.gov	10/13/2012	2/22/2016
162	error: nil can't be coerced into Fixnum	Irene	Christina	Boyd	420-(118)971-3356	cboyd4h@constantcontact.com	3/8/2012	7/23/2016
163	error: nil can't be coerced into Fixnum	Todd	Anthony	Perkins	86-(224)134-0935	aperkins4i@odnoklassniki.ru	2/7/2012	12/21/2015
164	error: nil can't be coerced into Fixnum	Judith	Gerald	Cook	63-(761)842-3617	gcook4j@trellian.com	8/19/2012	11/1/2016
165	error: nil can't be coerced into Fixnum	Anna	Karen	Elliott	55-(127)804-1260	kelliott4k@sbwire.com	9/15/2012	3/20/2016
166	error: nil can't be coerced into Fixnum	Janice	Paula	Ryan	48-(186)144-6940	pryan4l@time.com	3/23/2012	7/13/2016
167	error: nil can't be coerced into Fixnum	Arthur	Jonathan	Ward	358-(173)375-4099	jward4m@yale.edu	2/24/2012	3/8/2016
168	error: nil can't be coerced into Fixnum	Peter	Joe	Berry	93-(141)718-1976	jberry4n@spiegel.de	11/18/2012	1/18/2016
169	error: nil can't be coerced into Fixnum	Elizabeth	Philip	Hernandez	967-(337)225-1018	phernandez4o@nature.com	2/8/2012	4/11/2016
170	error: nil can't be coerced into Fixnum	Tina	Carolyn	Franklin	963-(141)897-9881	cfranklin4p@seattletimes.com	10/10/2012	4/19/2016
171	error: nil can't be coerced into Fixnum	Wanda	Catherine	Vasquez	420-(284)772-3749	cvasquez4q@patch.com	4/1/2012	5/31/2016
172	error: nil can't be coerced into Fixnum	Ruby	Sean	Graham	41-(394)550-1272	sgraham4r@lycos.com	2/12/2012	12/19/2015
173	error: nil can't be coerced into Fixnum	Daniel	Alice	Murphy	98-(108)216-6587	amurphy4s@vistaprint.com	5/25/2012	5/12/2016
174	error: nil can't be coerced into Fixnum	Ruth	Judy	Clark	62-(820)999-9035	jclark4t@addtoany.com	5/1/2012	5/5/2016
175	error: nil can't be coerced into Fixnum	Brenda	Andrea	Perry	66-(721)865-2131	aperry4u@oakley.com	7/19/2012	4/13/2016
176	error: nil can't be coerced into Fixnum	Adam	Wanda	Lawrence	62-(344)831-2635	wlawrence4v@census.gov	5/18/2012	3/29/2016
177	error: nil can't be coerced into Fixnum	Randy	Wayne	Torres	62-(841)245-8334	wtorres4w@unicef.org	11/1/2012	3/13/2016
178	error: nil can't be coerced into Fixnum	Henry	John	Morris	358-(761)160-5326	jmorris4x@ca.gov	10/14/2012	2/7/2016
179	error: nil can't be coerced into Fixnum	Linda	Brenda	Murray	33-(979)144-9885	bmurray4y@trellian.com	12/10/2011	8/18/2016
180	error: nil can't be coerced into Fixnum	Kenneth	Sarah	Spencer	48-(642)455-8091	sspencer4z@deviantart.com	3/12/2012	8/7/2016
181	error: nil can't be coerced into Fixnum	Deborah	Diana	Shaw	54-(647)498-1830	dshaw50@bloglovin.com	12/4/2011	4/17/2016
182	error: nil can't be coerced into Fixnum	Bonnie	Walter	Payne	86-(477)103-1765	wpayne51@vk.com	8/11/2012	4/7/2016
183	error: nil can't be coerced into Fixnum	Robin	Stephanie	Ramos	62-(374)962-7665	sramos52@google.nl	4/7/2012	11/30/2015
184	error: nil can't be coerced into Fixnum	Nancy	Irene	Mcdonald	86-(290)375-2002	imcdonald53@yahoo.co.jp	12/7/2011	11/25/2015
185	error: nil can't be coerced into Fixnum	Emily	Debra	Gutierrez	48-(775)844-9824	dgutierrez54@cisco.com	11/3/2012	12/20/2015
186	error: nil can't be coerced into Fixnum	Bruce	Eugene	Watson	46-(580)229-9990	ewatson55@dagondesign.com	5/13/2012	12/25/2015
187	error: nil can't be coerced into Fixnum	Helen	Rose	Simmons	976-(248)435-1299	rsimmons56@shop-pro.jp	8/23/2012	1/16/2016
188	error: nil can't be coerced into Fixnum	Andrea	Juan	Chavez	63-(221)362-9906	jchavez57@e-recht24.de	9/30/2012	7/12/2016
189	error: nil can't be coerced into Fixnum	Samuel	Kathleen	Porter	81-(809)933-8618	kporter58@google.es	3/18/2012	6/10/2016
190	error: nil can't be coerced into Fixnum	George	Frances	Wheeler	62-(261)397-9408	fwheeler59@sun.com	7/24/2012	2/1/2016
191	error: nil can't be coerced into Fixnum	Lois	Shirley	Robinson	224-(438)129-0531	srobinson5a@house.gov	5/26/2012	6/2/2016
192	error: nil can't be coerced into Fixnum	Bobby	Phyllis	Kelley	353-(344)385-5446	pkelley5b@cdbaby.com	8/3/2012	11/14/2016
193	error: nil can't be coerced into Fixnum	Donald	Billy	Patterson	49-(580)336-2572	bpatterson5c@amazonaws.com	5/8/2012	2/25/2016
194	error: nil can't be coerced into Fixnum	Jerry	Adam	Wilson	855-(258)433-9954	awilson5d@phoca.cz	9/26/2012	7/10/2016
195	error: nil can't be coerced into Fixnum	Kathryn	Doris	Alexander	90-(950)548-4010	dalexander5e@vinaora.com	2/22/2012	8/8/2016
196	error: nil can't be coerced into Fixnum	Andrew	Beverly	Johnston	7-(510)966-5759	bjohnston5f@nytimes.com	3/6/2012	7/26/2016
197	error: nil can't be coerced into Fixnum	Susan	Fred	Hunter	86-(513)497-2167	fhunter5g@skype.com	9/23/2012	5/7/2016
